Date,Customer ID,Location,Category,Product,Quantity,Unit Price,Total Sales,Profit
2024-01-27,CUST0036,Kolkata,Technology,Laptop,1,3733.6,3733.6,369.55
2024-05-09,CUST0056,Bangalore,Technology,Laptop,10,2167.42,21674.2,1212.88
2024-02-26,CUST0140,Delhi,Technology,Laptop,9,1074.3,9668.7,1740.14
2024-03-12,CUST0109,Hyderabad,Office Supplies,Notebook,1,3818.16,3818.16,312.83
2024-06-03,CUST0092,Hyderabad,Furniture,Table,6,600.83,3604.98,454.18
2024-05-21,CUST0097,Chennai,Office Supplies,Paper,8,2727.52,21820.16,5337.72
2024-03-15,CUST0170,Bangalore,Office Supplies,Notebook,10,1042.21,10422.1,666.09
2024-04-04,CUST0094,Bangalore,Furniture,Table,2,1962.62,3925.24,552.21
2024-06-11,CUST0019,Mumbai,Office Supplies,Pen,5,3538.92,17694.6,3303.75
2024-05-22,CUST0164,Kolkata,Furniture,Table,3,2365.08,7095.24,737.83
2024-03-09,CUST0081,Delhi,Furniture,Bookshelf,1,1222.34,1222.34,68.96
2024-04-11,CUST0168,Delhi,Furniture,Table,10,4394.2,43942.0,4962.62
2024-03-08,CUST0144,Mumbai,Technology,Printer,3,1397.91,4193.73,416.54
2024-05-06,CUST0036,Mumbai,Technology,Printer,10,2057.06,20570.6,1930.84
2024-06-01,CUST0175,Delhi,Furniture,Chair,2,848.92,1697.84,139.22
2024-01-03,CUST0065,Mumbai,Furniture,Sofa,7,3019.85,21138.95,3035.76
2024-03-16,CUST0088,Chennai,Technology,Laptop,9,3779.3,34013.7,6929.26
2024-05-08,CUST0185,Hyderabad,Office Supplies,Pen,8,115.9,927.2,180.26
2024-04-05,CUST0051,Bangalore,Furniture,Chair,5,4224.18,21120.9,3200.5
2024-03-02,CUST0093,Hyderabad,Furniture,Chair,10,1688.36,16883.6,909.95
2024-05-16,CUST0125,Chennai,Furniture,Table,10,4740.05,47400.5,3182.03
2024-04-18,CUST0136,Mumbai,Furniture,Table,8,4739.56,37916.48,3148.03
2024-05-12,CUST0096,Delhi,Furniture,Table,5,2055.06,10275.3,1894.12
2024-02-28,CUST0151,Mumbai,Office Supplies,Paper,4,1201.02,4804.08,565.04
2024-01-09,CUST0059,Chennai,Technology,Headphones,1,447.87,447.87,78.92
2024-02-03,CUST0055,Mumbai,Office Supplies,Paper,9,1266.22,11395.98,2094.53
2024-01-25,CUST0049,Chennai,Technology,Printer,4,3944.64,15778.56,3337.16
